Mois,Huawei Ascend G7
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,35
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,22
2014-10,20
2014-11,25
2014-12,16
2015-01,37
2015-02,52
2015-03,30
2015-04,72
2015-05,100
2015-06,84
2015-07,90
2015-08,81
2015-09,48
2015-10,47
2015-11,17
2015-12,41
2016-01,43
2016-02,29
2016-03,27
2016-04,38
2016-05,25
2016-06,21
2016-07,39
2016-08,29
2016-09,19
2016-10,17
2016-11,23
2016-12,7
2017-01,8
2017-02,19
2017-03,18
2017-04,19
2017-05,0
2017-06,21
2017-07,0
2017-08,11
2017-09,0
2017-10,11
2017-11,10
2017-12,10
2018-01,11
2018-02,12
2018-03,22
2018-04,12
2018-05,11
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,19
2019-02,0
2019-03,0
2019-04,0
2019-05,10
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,9
2019-11,0
2019-12,8
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
